date,city,precip_mm,rainy_day,year,month
2019-05-13,New Orleans,0.0,0,2019,5
2019-05-14,New Orleans,0.0,0,2019,5
2019-05-15,New Orleans,0.0,0,2019,5
2019-05-16,New Orleans,0.0,0,2019,5
2019-05-17,New Orleans,0.0,0,2019,5
2019-05-18,New Orleans,0.0,0,2019,5
2019-05-19,New Orleans,27.178,1,2019,5
2019-05-20,New Orleans,0.0,0,2019,5
2019-05-21,New Orleans,0.0,0,2019,5
2019-05-22,New Orleans,0.0,0,2019,5
2019-05-23,New Orleans,0.0,0,2019,5
2019-05-24,New Orleans,0.0,0,2019,5
2019-05-25,New Orleans,0.0,0,2019,5
2019-05-26,New Orleans,0.0,0,2019,5
2019-05-27,New Orleans,0.0,0,2019,5
2019-05-28,New Orleans,0.0,0,2019,5
2019-05-29,New Orleans,0.0,0,2019,5
2019-05-30,New Orleans,0.0,0,2019,5
2019-05-31,New Orleans,0.0,0,2019,5
2019-06-01,New Orleans,0.0,0,2019,6
2019-06-02,New Orleans,0.0,0,2019,6
2019-06-03,New Orleans,0.0,0,2019,6
2019-06-04,New Orleans,0.0,0,2019,6
2019-06-05,New Orleans,0.254,1,2019,6
2019-06-06,New Orleans,13.97,1,2019,6
2019-06-07,New Orleans,2.2859999999999996,1,2019,6
2019-06-08,New Orleans,0.0,0,2019,6
2019-06-09,New Orleans,0.0,0,2019,6
2019-06-10,New Orleans,0.0,0,2019,6
2019-06-11,New Orleans,0.0,0,2019,6
2019-06-12,New Orleans,0.0,0,2019,6
2019-06-13,New Orleans,0.0,0,2019,6
2019-06-14,New Orleans,0.0,0,2019,6
2019-06-15,New Orleans,63.246,1,2019,6
2019-06-16,New Orleans,0.0,0,2019,6
2019-06-17,New Orleans,18.034,1,2019,6
2019-06-18,New Orleans,7.365999999999999,1,2019,6
2019-06-19,New Orleans,0.0,0,2019,6
2019-06-20,New Orleans,0.0,0,2019,6
2019-06-21,New Orleans,0.0,0,2019,6
2019-06-22,New Orleans,0.0,0,2019,6
2019-06-23,New Orleans,0.0,0,2019,6
2019-06-24,New Orleans,0.508,1,2019,6
2019-06-25,New Orleans,0.0,0,2019,6
2019-06-26,New Orleans,0.0,0,2019,6
2019-06-27,New Orleans,0.0,0,2019,6
2019-06-28,New Orleans,0.0,0,2019,6
2019-06-29,New Orleans,0.0,0,2019,6
2019-06-30,New Orleans,4.064,1,2019,6
2019-07-01,New Orleans,0.0,0,2019,7
2019-07-02,New Orleans,0.0,0,2019,7
2019-07-03,New Orleans,0.0,0,2019,7
2019-07-04,New Orleans,0.0,0,2019,7
2019-07-05,New Orleans,0.0,0,2019,7
2019-07-06,New Orleans,0.0,0,2019,7
2019-07-07,New Orleans,0.0,0,2019,7
2019-07-08,New Orleans,0.0,0,2019,7
2019-07-09,New Orleans,0.0,0,2019,7
2019-07-10,New Orleans,66.294,1,2019,7
2019-07-11,New Orleans,0.254,1,2019,7
2019-07-12,New Orleans,4.571999999999999,1,2019,7
2019-07-13,New Orleans,9.143999999999998,1,2019,7
2019-07-14,New Orleans,12.446,1,2019,7
2019-07-15,New Orleans,0.254,1,2019,7
2019-07-16,New Orleans,0.0,0,2019,7
2019-07-17,New Orleans,0.0,0,2019,7
2019-07-18,New Orleans,11.43,1,2019,7
2019-07-19,New Orleans,0.0,0,2019,7
